dancer_id,dance_id,dance_key,waggle_run,stimulus,notes,waggle_directions,start_x,start_y,start_xy,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,source_batch
22b,22b_00030,2025-01-19__22b_00030,14,vertical,,"(-0.59001658934231, 0.807391122257898)",475,465,"(475, 465)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.59001658934231,0.807391122257898,216.158185439808,1763,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,15,vertical,,"(-0.6567807448042019, 0.7540815958863059)",444,427,"(444, 427)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.656780744804202,0.754081595886306,221.054813770962,1803,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,16,vertical,,"(0.07870248542001067, 0.9968981486534685)",479,495,"(479, 495)",22b_00030_waggle_annotations.csv,17:04:00,20250119,0.0787024854200107,0.996898148653469,175.486011541999,1857,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,17,vertical,,"(-0.5749455167129004, 0.818191696860666)",475,449,"(475, 449)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.5749455167129,0.818191696860666,215.095816787026,1899,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,18,vertical,,"(0.0, 1.0)",551,448,"(551, 448)",22b_00030_waggle_annotations.csv,17:04:00,20250119,0,1,180,1943,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,19,vertical,,"(-0.554700196225229, 0.8320502943378436)",528,419,"(528, 419)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.554700196225229,0.832050294337844,213.69006752598,1990,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,20,vertical,,"(-0.5248887029964605, 0.85117086972399)",517,423,"(517, 423)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.524888702996461,0.85117086972399,211.660751096637,2033,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,21,vertical,,"(-0.6034426701855365, 0.7974063856023161)",496,389,"(496, 389)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.603442670185537,0.797406385602316,217.11686068327,2077,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,22,vertical,,"(-0.6088187851390504, 0.7933093260902778)",529,388,"(529, 388)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.60881878513905,0.793309326090278,217.50414236027,2118,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,23,vertical,,"(-0.7071067811865475, 0.7071067811865475)",462,384,"(462, 384)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.707106781186548,0.707106781186548,225,2169,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,24,vertical,,"(-0.47409982303501746, 0.8804710999221753)",522,380,"(522, 380)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.474099823035017,0.880471099922175,208.300755766006,2207,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,25,vertical,,"(-0.6401843996644799, 0.7682212795973759)",511,423,"(511, 423)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.64018439966448,0.768221279597376,219.805571092265,2263,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,26,vertical,,"(-0.1117947730678652, 0.9937313161588018)",528,463,"(528, 463)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.111794773067865,0.993731316158802,186.418786730239,2305,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,27,vertical,,"(-0.5700815482062942, 0.821588113591424)",528,399,"(528, 399)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.570081548206294,0.821588113591424,214.755912553541,2345,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,28,vertical,,"(-0.5608481451695152, 0.8279186904883319)",575,434,"(575, 434)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.560848145169515,0.827918690488332,214.114472945341,2388,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,29,vertical,,"(-0.5114838597676826, 0.8592928844097067)",560,419,"(560, 419)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.511483859767683,0.859292884409707,210.762719534239,2439,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,30,vertical,,"(-0.1567675442007084, 0.9876355284644629)",596,423,"(596, 423)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.156767544200708,0.987635528464463,189.019322431382,2483,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,31,vertical,,"(-0.666330983530245, 0.7456561006171789)",578,395,"(578, 395)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.666330983530245,0.745656100617179,221.784516008252,2538,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,32,vertical,,"(-0.1757906384836575, 0.984427575508482)",563,442,"(563, 442)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.175790638483658,0.984427575508482,190.124671655398,2584,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,33,vertical,,"(-0.4895347567076386, 0.8719837853854813)",537,423,"(537, 423)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.489534756707639,0.871983785385481,209.310007070916,2623,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,34,vertical,,"(-0.5594728550010625, 0.8288486740756481)",599,437,"(599, 437)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.559472855001063,0.828848674075648,214.019349989826,2667,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,35,vertical,,"(-0.49132118693190874, 0.8709784677429291)",565,447,"(565, 447)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.491321186931909,0.870978467742929,209.42745640319,2708,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,36,vertical,,"(-0.5865098121518428, 0.809942121543021)",586,437,"(586, 437)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.586509812151843,0.809942121543021,215.909723079178,2753,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
