dancer_id,source_batch,dance_key,dance_id,waggle_run,stimulus,waggle_directions,start_x,start_y,start_xy,notes,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,calibration_file,calibration_id,calibration_video_name,calibration_n_annotations,calibration_mean_north_deg,calibration_circular_sd_deg,calibration_R,declination_deg,true_north_video_deg,calibration_notes,waggle_true_bearing_deg
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,4,,"(-0.06651901052377393, -0.9977851578566089)",970,725,"(970, 725)",,66b_00013_waggle_annotations.csv,,,-0.0665190105237739,-0.9977851578566088,356.18592516570965,330,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,5,,"(0.09053574604251853, -0.9958932064677039)",938,739,"(938, 739)",,66b_00013_waggle_annotations.csv,,,0.0905357460425185,-0.995893206467704,5.194428907734806,403,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,6,,"(0.2544932992796438, -0.9670745372626465)",939,681,"(939, 681)",,66b_00013_waggle_annotations.csv,,,0.2544932992796438,-0.9670745372626464,14.743562836470735,458,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,7,,"(0.49026123963255896, -0.8715755371245493)",947,712,"(947, 712)",,66b_00013_waggle_annotations.csv,,,0.4902612396325589,-0.8715755371245493,29.35775354279128,493,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,8,,"(0.31622776601683794, -0.9486832980505138)",967,727,"(967, 727)",,66b_00013_waggle_annotations.csv,,,0.3162277660168379,-0.9486832980505138,18.43494882292201,552,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00020,66b_00020,1,,"(0.813733471206735, -0.5812381937190965)",986,819,"(986, 819)",,66b_00020_waggle_annotations.csv,,,0.813733471206735,-0.5812381937190965,54.46232220802562,44,E:\2026Trackathon\James\mp4\20250127\00020.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,208.87132220802562
66b,2025-01-27,2025-01-27__66b_00020,66b_00020,2,,"(0.8320502943378437, -0.5547001962252291)",1002,853,"(1002, 853)",,66b_00020_waggle_annotations.csv,,,0.8320502943378437,-0.5547001962252291,56.309932474020215,93,E:\2026Trackathon\James\mp4\20250127\00020.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,210.71893247402022
66b,2025-01-27,2025-01-27__66b_00020,66b_00020,3,,"(0.813733471206735, -0.5812381937190965)",1023,844,"(1023, 844)",,66b_00020_waggle_annotations.csv,,,0.813733471206735,-0.5812381937190965,54.46232220802562,145,E:\2026Trackathon\James\mp4\20250127\00020.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,208.87132220802562
66b,2025-01-27,2025-01-27__66b_00020,66b_00020,4,,"(0.7808688094430304, -0.6246950475544243)",1135,799,"(1135, 799)",,66b_00020_waggle_annotations.csv,,,0.7808688094430304,-0.6246950475544243,51.34019174590991,1065,E:\2026Trackathon\James\mp4\20250127\00020.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,205.7491917459099
66b,2025-01-27,2025-01-27__66b_00021,66b_00021,1,,"(-0.8221921916437787, -0.5692099788303083)",1191,743,"(1191, 743)",,66b_00021_waggle_annotations.csv,,,-0.8221921916437787,-0.5692099788303083,304.695153531234,1,E:\2026Trackathon\James\mp4\20250127\00021.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,99.10415353123398
66b,2025-01-27,2025-01-27__66b_00021,66b_00021,2,,"(0.2982749931359468, -0.9544799780350297)",1192,846,"(1192, 846)",,66b_00021_waggle_annotations.csv,,,0.2982749931359468,-0.9544799780350296,17.35402463626132,52,E:\2026Trackathon\James\mp4\20250127\00021.mp4,1,27_00014_waggle_annotations.csv,27_00014,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\James\20250127\00014.mp4,10,184.321,1.451,0.9997,-21.27,205.591,,171.76302463626132
